2	,	5	,	59
2	,	3	,	78
1	,	5	,	56
8	,	6	,	74
6	,	2	,	62
5	,	2	,	30.001
6	,	5	,	29
8	,	4	,	43
9	,	10	,	49
10.001	,	14	,	48
10.001	,	24	,	26
11	,	45	,	42
11	,	71	,	49
11	,	97	,	55
10.001	,	138	,	66
13	,	138	,	53
11	,	100	,	52
7	,	75	,	45
7	,	54	,	40.001
8	,	41	,	33
15	,	35	,	38
26	,	25	,	45
18	,	26	,	54
4	,	22	,	52
5	,	28	,	37
9	,	25	,	33
3	,	22	,	21
5	,	13	,	56
29	,	14	,	59
17	,	16	,	60.001
5	,	23	,	55
6	,	34	,	34
15	,	67	,	42
22	,	87	,	31
15	,	97	,	38
6	,	107	,	18
1	,	105	,	20.001
3	,	99	,	23
10.001	,	96	,	42
21	,	44	,	91
8	,	15	,	48
3	,	33	,	41
2	,	45	,	50.001
6	,	32	,	37
8	,	34	,	26
6	,	28	,	26
1	,	0.001	,	16
4	,	0.001	,	18
5	,	1	,	37
4	,	2	,	39
5	,	3	,	40.001
4	,	0.001	,	29
4	,	11	,	41
6	,	46	,	41
9	,	57	,	43
5	,	70	,	26
4	,	81	,	35
5	,	93	,	35
4	,	89	,	43
4	,	80	,	49
3	,	54	,	33
3	,	14	,	20.001
3	,	13	,	24
4	,	19	,	22
4	,	2	,	13
4	,	0.001	,	33
3	,	0.001	,	40.001
3	,	4	,	30.001
4	,	5	,	63
6	,	0.001	,	58
10.001	,	3	,	61
8	,	5	,	50.001
11	,	5	,	48
28	,	14	,	46
23	,	27	,	49
19	,	36	,	59
21	,	52	,	52
33	,	78	,	90.001
22	,	104	,	10.0017
13	,	92	,	89
7	,	48	,	65
6	,	23	,	63
6	,	9	,	66
5	,	3	,	73
6	,	0.001	,	65
7	,	0.001	,	57
6	,	1	,	64
4	,	3	,	43
5	,	0.001	,	47
4	,	0.001	,	36
5	,	0.001	,	55
24	,	0.001	,	26
58	,	0.001	,	29
29	,	5	,	39
13	,	17	,	41
13	,	21	,	60.001
17	,	31	,	46
6	,	53	,	39
4	,	71	,	43
4	,	67	,	36
7	,	66	,	59
7	,	70	,	54
9	,	58	,	44
4	,	20	,	38
5	,	3	,	33
9	,	0.001	,	42
6	,	0.001	,	34
2	,	0.001	,	71
2	,	0.001	,	70.001
0.001	,	3	,	57
1	,	5	,	30.001
1	,	7	,	40.001
1	,	16	,	19
1	,	19	,	10.001
2	,	26	,	52
2	,	30	,	60.001
2	,	30	,	61
2	,	30	,	59
3	,	38	,	52
3	,	45	,	36
2	,	75	,	37
2	,	75	,	45
3	,	73	,	52
2	,	61	,	67
2	,	22	,	53
2	,	17	,	59
2	,	12	,	95
3	,	7	,	93
4	,	9	,	41
4	,	7	,	31
4	,	20	,	33
3	,	28	,	28
7	,	24	,	30.001
7	,	25	,	32
5	,	16	,	39
5	,	16	,	34
5	,	23	,	37
5	,	35	,	45
6	,	46	,	45
5	,	60	,	44
4	,	85	,	38
6	,	94	,	45
9	,	105	,	74
6	,	115	,	56
5	,	103	,	49
6	,	72	,	50.001
7	,	44	,	59
8	,	18	,	74
13	,	4	,	75
11	,	3	,	92
4	,	3	,	89
10.001	,	3	,	66
1	,	51	,	31
2	,	46	,	33
1	,	39	,	30.001
28	,	16	,	29
6	,	16	,	51
2	,	32	,	38
52	,	51	,	23
10.001	,	64	,	39
2	,	93	,	44
1	,	100	,	36
1	,	113	,	24
3	,	117	,	29
2	,	132	,	25
2	,	126	,	29
4	,	101	,	47
7	,	50	,	77
65	,	16	,	117
35	,	16	,	110.001
9	,	14	,	138
6	,	16	,	76
3	,	17	,	41
3	,	0.001	,	24
1	,	0.001	,	22
1	,	0.001	,	25
0.001	,	0.001	,	27
1	,	0.001	,	10.001
2	,	0.001	,	17
1	,	10	,	35
0.001	,	32	,	30.001
0.001	,	42	,	28
1	,	57	,	28
1	,	72	,	39
6	,	75	,	11
16	,	88	,	14
8	,	110	,	29
2	,	85	,	24
4	,	39	,	45
2	,	5	,	31
2	,	0.001	,	59
1	,	0.001	,	79
1	,	1	,	66
1	,	0.001	,	38
3	,	0.001	,	45
3	,	4	,	49
8	,	8	,	32
6	,	2	,	40.001
6	,	14	,	45
7	,	11	,	39
10.001	,	13	,	40.001
14	,	12	,	40.001
12	,	16	,	32
14	,	25	,	41
9	,	36	,	37
11	,	59	,	43
5	,	96	,	48
3	,	97	,	42
30.001	,	116	,	24
38	,	90	,	34
29	,	38	,	98
19	,	30	,	87
17	,	4	,	69
14	,	0.001	,	76
9	,	0.001	,	99
7	,	0.001	,	10.0019
6	,	0.001	,	111
7	,	0.001	,	89
11	,	0.001	,	35
8	,	0.001	,	51
11	,	0.001	,	25
10.001	,	0.001	,	20.001
10.001	,	0.001	,	40.001
16	,	0.001	,	36
26	,	0.001	,	52
20.001	,	1	,	52
17	,	25	,	30.001
13	,	36	,	61
14	,	47	,	47
8	,	61	,	39
5	,	76	,	52
5	,	71	,	50.001
4	,	59	,	48
5	,	46	,	27
5	,	33	,	39
4	,	0.001	,	48
4	,	0.001	,	42
5	,	0.001	,	33
4	,	0.001	,	41
9	,	0.001	,	38
7	,	0.001	,	63
5	,	3	,	86
3	,	3	,	78
3	,	14	,	43
3	,	23	,	33
4	,	20	,	27
5	,	4	,	31
6	,	8	,	23
6	,	23	,	32
5	,	39	,	24
3	,	55	,	26
3	,	79	,	26
3	,	98	,	33
3	,	106	,	35
3	,	109	,	32
3	,	108	,	41
4	,	109	,	46
5	,	81	,	45
7	,	17	,	60.001
7	,	20	,	79
7	,	17	,	94
7	,	13	,	89
2	,	10	,	72
1	,	6	,	79
6	,	29	,	84
3	,	18	,	74
2	,	12	,	45
2	,	16	,	34
2	,	13	,	53
3	,	16	,	33
2	,	20	,	42
26	,	44	,	49
18	,	63	,	22
4	,	67	,	28
5	,	83	,	35
4	,	98	,	31
2	,	106	,	24
2	,	106	,	25
1	,	109	,	22
3	,	109	,	18
3	,	94	,	28
4	,	51	,	27
3	,	31	,	48
3	,	31	,	48
12	,	22	,	48
1	,	29	,	72
1	,	22	,	67
1	,	16	,	51
1	,	17	,	15
1	,	2	,	32
1	,	11	,	26
1	,	1	,	31
1	,	1	,	24
3	,	6	,	24
12	,	15	,	39
4	,	35	,	28
8	,	54	,	46
3	,	63	,	58
2	,	71	,	44
1	,	61	,	42
1	,	64	,	37
1	,	42	,	41
1	,	28	,	33
1	,	25	,	25
1	,	20	,	22
1	,	23	,	11
1	,	9	,	12
1	,	8	,	24
4	,	3	,	49
5	,	0.001	,	22
4	,	25	,	38
3	,	26	,	29
2	,	46	,	23
2	,	40	,	18
3	,	46	,	27
3	,	36	,	19
3	,	25	,	14
2	,	29	,	20.001
2	,	35	,	25
2	,	42	,	16
2	,	36	,	30.001
2	,	35	,	18
2	,	25	,	11
2	,	26	,	17
3	,	19	,	28
3	,	9	,	26
7	,	1	,	34
8	,	1	,	27
21	,	1	,	30.001
14	,	3	,	18
9	,	0.001	,	36
7	,	1	,	37
4	,	1	,	33
3	,	32	,	68
2	,	33	,	52
1	,	36	,	38
1	,	38	,	32
2	,	48	,	9
2	,	21	,	12
2	,	26	,	25
2	,	21	,	21
1	,	18	,	17
2	,	32	,	56
2	,	27	,	12
4	,	41	,	37
2	,	37	,	54
2	,	32	,	58
5	,	28	,	43
7	,	18	,	37
6	,	9	,	42
5	,	1	,	64
3	,	0.001	,	81
2	,	0.001	,	63
15	,	0.001	,	54
20.001	,	21	,	22
15	,	40	,	54
17	,	23	,	35
5	,	30	,	29
13	,	61	,	40.001
19	,	28	,	30.001
7	,	39	,	21
4	,	16	,	66
3	,	26	,	21
2	,	47	,	8
1	,	47	,	7
1	,	56	,	28
1	,	69	,	7
1	,	67	,	14
2	,	69	,	3
1	,	64	,	27
1	,	41	,	19
1	,	38	,	5
1	,	26	,	16
1	,	21	,	12
1	,	19	,	18
1	,	12	,	25
0.001	,	23	,	6
1	,	13	,	28
1	,	35	,	7
3	,	54	,	37
4	,	69	,	46
10.001	,	62	,	26
20.001	,	68	,	74
12	,	34	,	35
18	,	25	,	61
25	,	28	,	53
13	,	34	,	50.001
10.001	,	32	,	56
9	,	36	,	53
8	,	46	,	46
9	,	32	,	26
5	,	36	,	19
3	,	24	,	75
6	,	8	,	55
5	,	17	,	16
3	,	11	,	70.001
3	,	6	,	25
5	,	4	,	44
5	,	16	,	36
